abrupt (adj)	Sudden (adj); Suddenly (adv)
back and forth	Direction (n)
back off (v)	Loosen (v)
backup (n)	Emergency (n); Auxiliary (adj)
backward (adv)	Rearward (adv)
badly (adv)	Incorrectly (adv); Decrease (v)
bank (v)	Bank (TN)
bared (adj)	Bare (adj)
base (n)	Bottom (n)
base (v)	Use (v)
begin (v)	Start (v)
beginning (n)	Start (n); Source (n); Start (v)
below (adv)	Follow (v); These (adj)
beneath (prep)	Below (prep)
beside (prep)	
beware (v)	Careful (adj)
beyond (prep)	
big (adj)	Large (adj)
bind (v)	Freely (adv)
blank (v)	Seal (v); Cap (TN); Cover (TN)
blend (v)	Mix (v)
block (v)	
blot (v)	Dry (v)
blunted (adj)	Blunt (adj)
bolt (v)	Attach (v)
both (adj)	The Two (TN)
bottom (v)	Touch (v)
bounds (n)	Limit (n)
brace (v)	Hold (v); Strong (adj)
branch (v)	Divide (v)
breadth (n)	Width (n)
break (n)	Stop (v)
breakdown (n)	Stop (v)
brilliance (n)	Intensity (n); Bright (adj)
bring (v)	Move (v); Put (v)
briskly (adv)	Quickly (adv)
broadcast (v)	Transmit (v)
brush (v)	Brush (TN)
brush on (v)	Brush (TN)
build (n)	Structure (n)
build (v)	Assemble (v)
bump (v)	Hit (v)
burst (v)	Break (v)
butt (v)	Touch (v)
by means of (prep)	With (prep)
calculation (n)	Calculate (v)
call (v)	Tell (v)
cap (v)	Seal (v); Cap (TN); Cover (TN)
capability (n)	Function (n); Can (v)
capable (adj)	Approved (adj); Can (v)
care (n)	Precaution (n); Careful (adj); Carefully (adv)
carry (v)	Transmit (v); Transport (TN)
carry out (v)	Do (v); Measure (v)
case (n)	Condition (n)
categorize (v)	Category (TN)
caution (v)	Tell (v)
cautiously (adv)	Carefully (adv)
cavity (n)	Hole (n); Space (n)
cease (v)	Stop (v)
center (v)	Center (TN)
centralize (v)	Center (TN)
certain (adj)	Sure (adj); Some (adj); Specified (adj)
certify (v)	Write (v); Approval (n)
chafe (v)	Rub (v)
chafed (adj)	Worn (adj)
chance	Risk (n); Accidentally (adv)
channel (v)	Channel (TN)
characteristic (n)	Property (n); Quality (n)
check (v)	Make Sure (v); Measure (v); Examine (v); Check (n)
chip (n)	Particle (n)
chip (v)	Damaged (adj)
chock (v)	Chock (TN)
choice (n)	Selection (n); Alternative (adj)
choose (v)	Select (v); Alternative (adj)
circa (prep)	Approximately (adv)
circle (v)	Around (prep)
circulate (v)	Supply (v)
clamp (v)	Attach (v); Put (v)
classification (n)	Class (TN); Category (TN)
cleanliness (n)	Clean (adj)
clear (v)	Clean (v)
click (v)	Click (n)
clip (v)	Cut (v); Attach (v)
close (adj)	Near (prep)
closely (adv)	Carefully (adv)
close to (adv)	Near (prep)
coat (n)	Layer (n)
coat (v)	Layer (n)
coating (n)	Layer (n)
cock (v)	Set (v)
code (v)	Identify (v); Code (n)
coil (v)	Wind (v)
coincide (v)	Align (v)
coincident (adj)	Synchronized (adj); Align (v)
collapse (v)	Close (v); Fall (v)
color code (v)	Identify (v); Code (n)
colored (adj)	Color (n)
combine (v)	Mix (v)
combustible (adj)	Flammable (adj)
commence (v)	Start (v)
commencement	Start (v)
common (adj)	Same (adv)
communicate (v)	Contact (v); Speak (v); Hear (v); Communication (n)
comparison (n)	Compare (v)
compile (v)	Record (v); Collect (v)
complete (adj)	Full (adj); All (adj); Completed (adj)
completely (adv)	Fully (adv)
completion (n)	End (n); Complete (v)
complicated (adj)	
comply (v)	Obey (v)
comprehensive	Full (adj)
comprise (v)	Have (v); Contain (v)
compulsory (adj)	Mandatory (adj)
compute (v)	Calculate (v)
concentrate (v)	All (adj)
concern (v)	Applicable (adj)
conclusion (n)	End (n); Result (n)
concurrently (adj)	
conduct (v)	Do (v)
confine to (v)	Only (adv)
confirm (v)	Make Sure (v)
conflict (n)	Different (adj); Agree (v)
conform (v)	Agree (v)
conformance (n)	Agree (v)
conformity (n)	Agree (v)
consecutive (adj)	One (TN)
consequence (n)	Because Of (prep)
consider (v)	Think (v)
considerable (adj)	Large (adj); Important (adj); Dangerous (adj)
consist of (v)	Have (v)
consistent (adj)	Agree (v)
construct (v)	Assemble (v)
consult (v)	Refer (v)
contaminant (n)	Contamination (n)
contaminated (adj)	Dirty (adj); Contamination (n)
contiguous (adj)	Adjacent (adj)
conventional (adj)	Standard (adj)
converse (adj)	Opposite (adj)
convert (v)	Change (v)
convey (v)	Move (v); Tell (v)
cool (v)	Decrease (v); Cool (adj)
coordinate (v)	Synchronized (adj)
copy (v)	Write (v); Copy (n); Record (v)
correctness (n)	Correct (adj); Correctly (adv)
correspond (v)	Agree (v); Same (adj); Different (adj)
corresponding	Related (adj)
corrode (v)	Corrosion (TN)
corrosive (adj)	Corrosion (TN)
couple (v)	Connect (v); Attach (v)
cover (v)	Include (v); Have (v); Cover (TN)
crack (v)	Open (v); Crack (TN)
create (v)	Make (v); Cause (v)
critical (adj)	Careful (adj)
cross (v)	Across (adv); Correctly (adv)
curvature (n)	Bend (n); Curve (n); Radius (TN)
curve (v)	
cycle (v)	Cycle (n)
damage (v)	Damage (n)
damp (adj)	Moist (adj)
dampen (v)	Decrease (v)
danger (n)	Risk (n); Dangerous (adj)
dangerously (adv)	Dangerous (adj)
deadly (adj)	Kill (v)
deaerate (v)	Bleed (v); Air (TN)
dearm (v)	Disarm (v); Remove (v)
decay (v)	Decrease (v)
decelerate (v)	Decrease (v); Slower (adj)
decide (v)	Select (v); Decision (n)
decrease (n)	Decrease (v)
decrement (n)	Increment (n)
define (v)	Calculate (v); Give (v); Specified (adj)
deflect (v)	Move (v)
deflection (n)	Movement (n); Position (n); Travel (n)
deformed (adj)	Damaged (adj); Deformation (TN)
defueling (n)	Defuel (v)
degrease (v)	Grease (TN)
de-ice (v)	Ice (TN)
delay (n)	Interval (n); Immediately (adv)
delay (v)	After (prep)
delete (v)	Erase (v); Remove (v)
delicate (adj)	
deliver (v)	Supply (v)
delivery (n)	Supply (v)
demand (v)	Necessary (adj)
denote (v)	Show (v)
dent (v)	Dent (TN)
depend (v)	If (conj)
deplete (v)	Decrease (v)
deposit (n)	Particle (n); Contamination (n)
depress (v)	Push (v)
depressurize (v)	Pressure (TN)
describe (v)	Give (v)
deselect (v)	Cancel (v)
design (v)	Have (v)
desired (adj)	Necessary (adj); Correct (adj)
destroy (v)	Break (v)
detach (v)	Disconnect (v); Disengage (v); Remove (v)
detail (n)	Instruction (n)
detail (v)	Give (v); Refer (v); Specified (adj)
detect (v)	Find (v); Sense (v)
determine (v)	Find (v); Give (v); Select (v); Calculate (v)
detrimental (adj)	Dangerous (adj); Damage (n)
develop (v)	Start (v); Cause (v)
deviate (v)	Obey (v)
devise (v)	Make (v); Find (v)
diagnose (v)	Find (v)
diametrically (adv)	Opposite (adj)
differ (v)	Different (adj)
differentiate (v)	Identify (v)
difficult (adj)	
difficulty (n)	
dilute (v)	Mix (v); Add (v)
dim (v)	Decrease (v)
diminish (v)	Decrease (v)
dip (v)	Momentarily (adv)
direct (v)	Point (v)
disappear (v)	View (n)
discharge (v)	Release (v); Go (v)
discontinue (v)	Stop (v)
discover (v)	Find (v)
discrepancy (n)	Difference (n)
disinfect (v)	Disinfectant (TN)
dismantle (v)	Disassemble (v)
dispatch (v)	Send (v)
disperse (v)	Remove (v)
displace (v)	Move (v)
display (v)	Show (v)
dispose of (v)	Discard (v)
disposition (n)	Location (n); Position (n)
disregard (v)	Ignore (v)
distinct (adj)	Clear (adj)
distinctly (adv)	Clearly (adv)
distort (v)	Twist (v)
distribute (v)	Apply (v); Supply (v)
distribution (n)	Supply (n)
disturb (v)	Move (v); Change (v)
don (v)	Use (v); Put On (v)
doubt (n)	Think (v)
downward (adv)	Down (adv)
drag (v)	Pull (v)
draw (v)	Make (v); Pull (v)
dress (v)	Use (v); Put On (v)
drift (v)	Move (v); Remove (v)
drive (v)	Move (v); Remove (v); Operate (v)
droop (v)	Move (v)
drop (v)	Fall (v); Decrease (v)
due to (prep)	Because Of (prep); Because (conj)
dull (adj)	Dim (adj); Matt (adj)
duration (n)	During (prep)
dust (v)	Apply (v)
early (adj)	Short (adj)
earth (n)	Ground (n)
earth (v)	Ground (v)
ease (n)	Easily (adv); Easy (adj)
ease (v)	
effect (v)	Do (v)
effective (adj)	Good (adj)
efficacious (adj)	Good (adj)
efficient (adj)	Satisfactory (adj)
efficiently (adv)	Satisfactorily (adv)
efflux (n)	Exhaust (n)
effort (n)	Force (TN); Try (v)
either (adj)	One (TN)
either (conj)	Or (conj)
either (pron)	One (TN)
ejection (n)	Eject (v)
elapse (v)	Time (n); After (prep); Interval (n)
eliminate (v)	Remove (v); Stop (v); Prevent (v)
emit (v)	From (prep)
employ (v)	Use (v); Have (v)
empty (v)	Remove (v)
enable (v)	Let (v)
encircle (v)	Around (prep)
enclosed (adj)	Closed (adj)
encounter (v)	Be (v); Find (v)
end (v)	Stop (v); Complete (v)
enforce (v)	Obey (v)
engagement (n)	Engage (v)
enlarge (v)	Increase (v); Large (adj)
enough (adj)	Sufficient (adj)
ensue (v)	Cause (v)
ensure (v)	Make Sure (v)
enter (v)	Record (v); Entry (n)
entire (adj)	Full (adj); All (adj)
entirely (adv)	Fully (adv)
equal (v)	Same (adj); Equal (adj)
equip (v)	Install (v)
equipped (adj)	Have (v)
erect (v)	Assemble (v)
erratic (adj)	Irregular (adj)
escape (v)	Deflate (v); Release (v)
establish (v)	Make Sure (v)
estimate (v)	Estimate (n)
evaluate (v)	Examine (v); Analysis (TN)
evaluation (n)	Examine (v); Analysis (TN)
evaporate (v)	Dry (v)
even (adj)	Smooth (adj); Same (adj); Flat (adj); Flush (adj); Level (adj)
evenly (adv)	Gradually (adv); Equally (adv)
event (n)	If (conj)
eventually (adv)	
every (adj)	All (adj); Each (adj); Interval (n)
evidence (n)	Indication (n); Sign (n); Show (v)
evidence (v)	Show (v); Find (v)
evident (adj)	Find (v)
exact (adj)	Accurate (adj); Correct (adj)
exactly (adv)	Accurately (adv); Fully (adv); Correct (adj)
examination (n)	Examine (v); Find (v)
exceed (v)	
except (prep)	
exception (n)	
exceptional (adj)	Unusual (adj)
exceptionally (adv)	Unusually (adv)
excess (adj)	Unwanted (adj)
excess (n)	
excessive (adj)	
excessively (adv)	
exchange (v)	Interchange (v); Replace (v)
exclude (v)	
excluding (prep)	Without (prep)
execute (v)	Do (v)
exempt (adj)	No (adj)
exercise (v)	Make Sure (v); Careful (adj)
exert (v)	Apply (v); Put (v)
exhale (v)	Breathe (v)
exhaust (v)	Remove (v); Decrease (v); Release (v)
exhaustive (adj)	All (adj); Full (adj)
exist (v)	Be (v)
expect (v)	Possible (adj)
expel (v)	Remove (v); Bleed (v); Release (v)
explain (v)	Tell (v)
expose (v)	Get (v)
extent (n)	Depth (n); Length (n); Width (n)
exterior (n)	External (adj)
extra (adj)	More (adj)
extract (v)	Remove (v)
extreme (adj)	Very High (adj); Very Bad (adj); Very Cold (adj); Very Hot (adj)
extremely (adv)	Very (adv)
exude (v)	Out Of (prep)
fabricate (v)	Make (v)
face (v)	Point (v); Turn (v)
facilitate (v)	Help (v)
facility (n)	
factor (n)	Cause (n)
fail (v)	Failure (TN)
failed (adj)	Defective (adj); Unserviceable (adj)
failure (n)	
faint (adj)	Dim (adj); Intensity (n); Bright (adj)
fall (n)	Decrease (v)
false (adj)	Incorrect (adj)
falter (v)	Smoothly (adv); Constant (adj)
familiar (adj)	Know (v)
fashion (n)	Procedure (n)
fast (adv)	Quickly (adv)
fasten (v)	Attach (v); Connect (v)
fatal (adj)	Kill (v)
faulty (adj)	Defective (adj); Incorrect (adj); Unserviceable (adj)
fear (v)	Think (v); Make Sure (v)
feasible (adj)	Possible (adj)
feature (v)	Have (v)
feed (v)	Put (v); Supply (v)
few (adj)	
file (v)	Remove (v); With A File (TN)
filing (n)	Particle (n)
film (n)	Layer (n)
filter (v)	Filter (TN)
final (adj)	Last (adj)
finding (n)	Result (n)
fine (adj)	Small (adj)
finger-tighten (v)	
finish (v)	Complete (v)
firmly (adv)	Tightly (adv)
fit (v)	Install (v); Attach (v); Correct (adj)
fix (v)	Attach (v); Set (v); Repair (v); Install (v)
flatness (n)	Flat (adj)
flatten (v)	Flat (adj)
flaw (n)	Damage (n); Defective (adj)
flex (v)	Bend (v)
flood (v)	
fluctuate (v)	Constant (adj)
focus (v)	Focus (TN)
fold (n)	Fold (v)
following (adj)	These (adj); Follow (v)
forbidden (adj)	
force (v)	Push (v); Force (TN)
forecast (v)	Possible (adj)
foreign (adj)	Unwanted (adj)
foremost (adj)	Front (n)
form (n)	Shape (n)
form (v)	Be (v)
fortify (v)	Strong (adj)
foul (v)	Catch (v); Hit (v); Touch (v); Clearance (n)
fouled (adj)	Dirty (adj); Clogged (adj); Catch (v)
fragile (adj)	
free from (adj)	No (adj)
free (v)	Release (v)
fresh (adj)	Clean (adj); New (adj)
fuel (v)	Refuel (v)
fulfill (v)	Obey (v)
function (v)	Operate (v); Move (v)
fundamental (adj)	Important (adj)
further (adj)	More (adj)
further (adv)	More (adv)
gain (n)	Increase (v)
gain (v)	Get (v)
gall (v)	Galling (TN)
gap (n)	Clearance (n); Distance (n); Space (n)
garbled (adj)	Clear (adj); Clearly (adv)
garner (v)	Collect (v)
gaseous (adj)	Gas (n)
gash (v)	Damaged (adj)
gather (v)	Collect (v)
gauge (v)	Measure (v)
generally (adv)	Usually (adv)
generate (v)	Be (v); Give (v); Supply (v)
generous (adj)	Large (adj); Thick (adj)
generously (adv)	Large (adj); Thick (adj)
gentle (adj)	Carefully (adv); Lightly (adv)
gently (adv)	Carefully (adv); Lightly (adv)
genuine (adj)	Correct (adj)
get (v)	Become (v)
get away (v)	
get down (v)	Decrease (v)
get into (v)	
get off (v)	
get to (v)	Be (v); Go (v); Increase (v)
gleam (v)	Shiny (adj)
glitch (n)	Error (n); Failure (TN); Unserviceable (adj)
gloss (n)	Shiny (adj)
glow (v)	Be (v)
glue (v)	Bond (v); Attach (v)
gouge (v)	Gouge (TN)
govern (v)	Control (v)
grab (v)	Use (v); Hold (v)
gradient (n)	Slope (n)
gradual (adj)	Gradually (adv)
graph (v)	Graph (TN)
grasp (v)	Hold (v)
grave (adj)	Dangerous (adj)
grease (v)	Lubricate (v); Grease (TN)
great (adj)	Large (adj); Very (adv)
greatly (adv)	
grip (n)	Hold (v)
grip (v)	Hold (v)
grow (v)	Become (v)
guard (v)	Guard (TN)
guide (v)	Put (v); Move (v)
gush (v)	Flow (n)
halt (v)	Stop (v)
halve (v)	Half (TN)
hamper (v)	Prevent (v)
handle (v)	Move (v); Touch (v); Use (v); Careful (adj)
hand-tight (adj)	
hand-tighten (v)	
happen (v)	Occur (v)
harden (v)	Hard (adj); Cure (TV)
harm (v)	Injury (n); Irritation (TN)
harmful (adj)	Dangerous (adj); Injury (n)
harmonize (v)	Agree (v); Align (v)
haul (v)	Tow (v); Move (v)
have to (v)	
hazard (n)	Dangerous (adj)
hazardous (adj)	Dangerous (adj)
hazy (adj)	Haze (TN)
head (v)	Point (v)
heat (v)	Heat (n); Hot (adj)
heighten (v)	Increase (v)
help (n)	Aid (n)
helpful (adj)	Help (v)
hesitation (n)	Smoothly (adv); Correctly (adv); Immediately (adv)
highly (adv)	Very (adv)
hinder (v)	Prevent (v); Decrease (v); Blockage (n); Clogged (adj)
hinge (v)	Turn (v)
hitch (v)	Connect (v)
hoist (v)	Lift (v)
hold (n)	Hold (v)
hold back (v)	Prevent (v)
hold off (v)	Prevent (v)
hook (v)	Put (v)
hook up (v)	Connect (v)
house (v)	Contain (v)
however (adv)	But (conj)
huge (adj)	Large (adj)
hum (v)	Hum (TN)
hurt (v)	Injury (n)
identical (adj)	Same (adj)
idle (v)	Idle (TN)
ignite (v)	Ignition (TN)
immediate (adj)	Immediately (adv)
immerse (v)	Soak (v)
immobilize (v)	Lock (v)
impact (n)	Hit (v)
impact (v)	Hit (v); Effect (n)
impair (v)	Decrease (v)
implement (v)	Do (v)
implementation (n)	Do (v)
impossible (adj)	Cannot (v)
impregnate (v)	Soak (v)
impression (n)	Think (v)
improper (adj)	Incorrect (adj)
improperly (adv)	Incorrectly (adv)
improve (v)	Better (adj)
impurity (n)	Contamination (n)
inactive (adj)	
inadvertent (adj)	Accidental (adj)
inadvertently (adv)	Accidentally (adv)
incline (n)	Slope (n)
including (prep)	Thru (prep); With (prep)
incompatible (adj)	
incomplete (adj)	All (adj)
incorporate (v)	Include (v); Have (v)
incorporation (n)	Include (v)
increase (n)	Increase (v)
incur (v)	Cause (v)
independent (adj)	Independently (adv)
indicate (v)	Show (v); Identify (v); Specified (adj)
induce (v)	Cause (v)
ineffective (adj)	Unserviceable (adj)
inflammable (adj)	Flammable (adj)
inform (v)	Tell (v)
ingest (v)	Swallow (v)
ingress (n)	
inhale (v)	Breathe (v)
inhibit (v)	Prevent (v)
initiate (v)	Start (v)
inject (v)	Put (v)
injection (n)	Put (v)
injure (v)	Injury (n)
inoperative (adj)	Off (adj)
insert (v)	Put (v); Engage (v)
inside (adj)	Inner (adj)
inside (n)	Inner (adj)
inside (prep)	In (prep); Into (prep)
inspect (v)	Examine (v); Inspection (n)
instead (adv)	Alternative (n)
instead of (prep)	Alternative (n)
insufficient (adj)	
insure (v)	Make Sure (v)
intact (adj)	
integral (adj)	Part (n)
interconnect (v)	Connect (v)
interfere (v)	Hit (v); Catch (v); Touch (v); Interference (TN)
interference (n)	Hit (v); Catch (v); Touch (v)
interior (n)	Internally (adv); Internal (adj)
intermediate (adj)	Middle (adj); Between (prep)
interrupt (v)	Stop (v)
intersect (v)	Intersection (TN)
investigate (v)	Investigation (n)
inward (adj)	Inner (adj)
inward (adv)	In (adv)
irregularity (n)	Damage (n); Defect (TN); Irregular (adj); Unusual (adj)
isolation (n)	Isolate (v)
jack (v)	Jack (TN)
jam (v)	Freely (adv)
job (n)	Work (n); Task (n)
join (v)	Bond (v); Attach (v); Connect (v)
just (adv)	Immediately (adv)
key (v)	Refer (v); Key (TN)
kind (n)	Type (n)
kink (v)	Kink (TN)
knock (v)	Hit (v)
label (v)	Identify (v); Label (TN)
lack (n)	
land (v)	Landing (TN)
last (v)	Continue (v)
later (adj)	Subsequent (adj); Then (adv)
later (adv)	Subsequently (adv); When (conj); After (prep)
lay (v)	Put (v)
lead (v)	Put (v)
leak (v)	Leak (n)
least (adv)	Minimum (adj)
leave (v)	Keep (v); Stay (v); Go (v)
left-hand (adj)	Left (adj)
legible (adj)	Read (v)
lengthen (v)	Increase (v)
lethal (adj)	Kill (v)
level (v)	Level (adj)
liberal (adj)	Large (adj); Thick (adj)
liberally (adv)	Large (adj); Thick (adj)
lie (v)	Be (v)
light (v)	
limitation (n)	Limit (n)
limited (adj)	Small (adj)
link (v)	Connect (v); Attach (v)
list (v)	Record (v); Show (v); List (TN)
little (adj)	Small (adj); Short (adj)
load (v)	Install (v); Load (TN)
locate (v)	Find (v); Engage (v); Put (v)
log (v)	Record (v)
loop (v)	Loop (n)
lose (v)	Decrease (v)
lost (adj)	Decrease (v)
lowermost (adj)	Bottom (adj)
lukewarm (adj)	Warm (adj)
main (adj)	Primary (adj)
maintain (v)	Keep (v); Hold (v); Maintenance (n)
major (adj)	Primary (adj)
make certain (v)	Make Sure (v)
maladjusted (adj)	
manipulate (v)	Move (v); Adjust (v)
manufacture (v)	Make (v)
mark (v)	Identify (v); Mark (n)
mask (v)	Apply (v)
match (v)	Align (v); Agree (v)
mate (v)	Connect (v); Engage (v); Together (adv)
matter (n)	Material (n)
may (v)	Can (v); Possibly (adv)
medium (adj)	Moderate (adj)
meet (v)	Engage (v); Touch (v)
mention (v)	Give (v)
mesh (v)	Engage (v)
meteorological	Weather (n)
mid (adj)	Middle (adj)
mild (adj)	Weak (adj)
minimize (v)	Minimum (n)
minor (adj)	Small (adj)
miscellaneous	Other (adj); All (adj)
misrigged (adj)	
mix (n)	Mixture (n)
modify (v)	Change (v); Modification (TN)
moisten (v)	Moist (adj)
momentary (adj)	Momentarily (adv)
motion (n)	Movement (n)
motor (v)	Dry-Motor (TV); Wet-Motor (TV); Motoring (TN)
mount (v)	Install (v); Attach (v); Put (v)
nearly (adv)	Almost (adv)
need (v)	Necessary (adj)
neither (adj)	Two (TN)
neither (pron)	Two (TN)
neutralize (v)	Neutral (adj)
never (adv)	
next (adv)	Then (adv)
next to (prep)	Adjacent To (prep)
noisy (adj)	Noise (n)
nor (conj)	Not (adv)
normal (adj)	Usual (adj); Correct (adj)
normally (adv)	Usually (adv); Correctly (adv)
note (v)	Record (v)
notify (v)	Tell (v); Contact (v); Write (v)
now (adv)	
observe (v)	Monitor (v); See (v); Obey (v)
obstruct (v)	Catch (v); Prevent (v); Blockage (n)
obstructed (adj)	Blocked (adj); Clogged (adj)
obstruction (n)	Blockage (n)
obtain (v)	Get (v)
often (adv)	Frequently (adv)
oil (v)	Lubricate (v); Oil (TN)
oil-free (adj)	Oil (TN)
old (adj)	Remaining (adj); Used (adj); Expired (adj)
omit (v)	Ignore (v)
once (adv)	One (TN)
once (conj)	When (conj)
opaque (adj)	
operable (adj)	Operate (v)
operational (adj)	Serviceable (adj); Operate (v)
opportunity (n)	
option (n)	Alternative (n); Possible (adj); Can (v)
order (n)	Sequence (n)
order (v)	Tell (v); Order (TN)
orient (v)	Point (v)
origin (n)	Source (n)
original (adj)	Initial (adj)
originate (v)	Source (n)
otherwise (adv)	Differently (adv)
outline (v)	Give (v)
outside (adj)	External (adj); Outer (adj)
outside (adv)	Outdoors (adv)
outside (n)	External (adj); Outer (adj)
outside (prep)	Near (prep)
outwards (adv)	Out (adv)
over (prep)	Above (prep); Along (prep); On (prep)
overfill (v)	
overfull (adj)	
overhaul (v)	Overhaul (TN)
overheat (v)	
overlap (v)	Overlap (n)
overtighten (v)	
pack (v)	Put (v); Fill (v)
part (v)	Disconnect (v)
partial (adj)	
partially (adv)	
particular (adj)	Very (adv)
particularly (adv)	Very (adv)
partly (adv)	
pass (v)	Go (v); Through (prep); Give (v)
passage (n)	Flow (n); Hole (n); Opening (n)
past (prep)	Around (prep); Through (prep)
penetrate (v)	
people (n)	Person (n); Personnel (n)
per (prep)	Refer (v)
perforated (adj)	Hole (n)
perform (v)	Do (v); Measure (v)
periodically (adv)	Interval (n)
permissible (adj)	Permitted (adj)
permit (v)	Let (v)
persist (v)	Continue (v)
persistent (adj)	Continuous (adj)
pertinent (adj)	Applicable (adj)
picket (v)	Moor (v)
pierced (adj)	Hole (n)
placard (v)	Put (v)
place (n)	Position (n); Area (n)
place (v)	Put (v)
plot (v)	Make (v)
plug (v)	Connect (v); Seal (v)
poor (adj)	Defective (adj); Unserviceable (adj)
pop (v)	Open (v); Protrude (v); Out (adv)
port (adj)	Left (adj)
portion (n)	Piece (n); Part (n)
position (v)	Put (v); Set (v)
potential (adj)	Possible (adj)
pour (v)	Put (v)
power (v)	Supply (v)
precautionary	Precaution (n)
precede (v)	Before (conj)
precise (adj)	Accurate (adj)
precisely (adv)	Accurately (adv)
preferable (adj)	Recommend (v)
preferably (adv)	
preheat (v)	Heat (n)
preload (v)	Load (TN)
premature (adj)	Before (conj)
prematurely (adv)	Before (conj)
preparation (n)	Prepare (v)
prescribed (adj)	Specified (adj)
presence (n)	Be (v)
present (adj)	Be (v)
present (v)	Give (v); Show (v)
preserve (v)	Preservation (TN)
preset (v)	Set (v)
press (v)	Push (v)
preventive (adj)	Prevent (v)
primarily (adv)	Primary (adj)
prime (v)	Fill (v); Put (v)
principal (adj)	Primary (adj)
prior to (prep)	Before (conj)
priority (n)	Important (adj); Before (prep); First (adv)
probability (n)	Risk (n)
probable (adj)	Risk (n)
probe (v)	Find (v)
proceed (v)	Continue (v)
process (n)	Procedure (n)
process (v)	Do (v); Procedure (n)
produce (v)	Cause (v); Give (v); Make (v); Supply (v)
product (n)	
profile (n)	Contour (n)
program (n)	Sequence (n)
progress (n)	Continue (v)
progress (v)	Continue (v)
progressive (adj)	Gradually (adv)
progressively (adv)	Gradually (adv)
prohibit (v)	Prevent (v)
prolonged (adj)	Long (adj)
prompt (adj)	Immediately (adv)
